x,y,z
-80.491,-2.937,-98.485
-80.491,-2.937,-98.485
-71.588,7.916,-100.099
-71.588,7.916,-100.099
-58.063,6.159,-114.693
142.031,-73.265,257.766
14.098,-4.467,33.531
14.098,-4.467,33.531
55.22,-42.887,198.108
55.22,-42.887,198.108
5.276,-4.483,13.349
5.276,-4.483,13.349
142.031,-73.265,257.766
14.098,-4.467,33.531
3.008,-0.272,13.775
3.008,-0.272,13.775
55.22,-42.887,198.108
-16.211,-5.11,5.369
-7.676,-2.489,4.269
-7.676,-2.489,4.269
-44.032,-5.199,23.842
-6.266,-0.929,5.576
-23.264,-5.804,18.948
0.049,40.426,30.699
0.036,17.601,17.569
0.036,17.601,17.569
1.713,8.954,9.44
1.713,8.954,9.44
45.114,175.957,158.327
45.114,175.957,158.327
31.348,111.139,75.467
5.282,35.65,19.655
31.348,111.139,75.467
5.282,35.65,19.655
0.049,40.426,30.699
-5.342,55.194,-36.614
-3.394,46.917,-33.11
-3.394,46.917,-33.11
2.838,264.006,-186.822
2.838,264.006,-186.822
0.867,21.969,-15.839
0.867,21.969,-15.839
0.369,99.1,-91.817
0.867,21.969,-15.839
6.443,72.368,-49.143
6.443,72.368,-49.143
8.235,65.214,-46.835
-5.32,-4.564,-15.015
-44.316,-54.422,-118.299
-5.32,-4.564,-15.015
-9.972,-11.626,-25.292
-44.746,12.037,-15.323
-87.465,18.728,-37.647
-87.465,18.728,-37.647
-24.971,3.857,-8.056
-24.971,3.857,-8.056
-55.929,10.027,-14.99
-55.929,10.027,-14.99
-44.746,12.037,-15.323
-55.929,10.027,-14.99
-118.661,18.47,-23.037
-118.661,18.47,-23.037
-90.348,9.224,-15.691
-90.348,9.224,-15.691
-73.449,1.277,-22.671
-73.449,1.277,-22.671
-99.571,6.63,-33.101
-99.571,6.63,-33.101
-24.971,3.857,-8.056
9.338,-48.285,-38.873
25.673,-101.693,-80.025
25.673,-101.693,-80.025
6.354,-24.254,-18.967
6.354,-24.254,-18.967
3.946,-13.232,-10.429
3.946,-13.232,-10.429
8.695,-27.8,-22.679
8.695,-27.8,-22.679
39.672,-125.767,-108.096
39.672,-125.767,-108.096
12.654,-41.164,-36.776
12.654,-41.164,-36.776
11.085,-39.231,-36.829
11.085,-39.231,-36.829
17.202,-68.634,-65.317
9.338,-48.285,-38.873
7.429,-52.271,-43.839
-62.228,-83.279,63.356
-18.458,-23.589,16.675
-18.458,-23.589,16.675
-12.176,-16.559,10.344
-12.176,-16.559,10.344
-22.633,-33.161,19.839
-22.633,-33.161,19.839
-24.824,-38.814,22.54
-24.824,-38.814,22.54
-33.656,-56.902,33.507
-33.656,-56.902,33.507
-48.908,-85.956,56.755
-17.384,-2.449,-5.099
-24.977,-3.273,-7.469
-24.977,-3.273,-7.469
-44.806,-3.095,-14.197
-44.806,-3.095,-14.197
-87.011,-3.847,-36.29
-87.011,-3.847,-36.29
-13.594,-0.499,-6.265
-87.011,-3.847,-36.29
-41.239,-6.234,-18.046
-41.239,-6.234,-18.046
-24.977,-3.273,-7.469
-14.607,-1.999,-22.801
-44.364,-5.172,-88.035
-42.169,-8.91,-73.723
-72.217,-4.779,-119.265
7.437,-21.265,30.299
8.871,-21.494,29.475
8.871,-21.494,29.475
14.752,-29.922,33.513
14.752,-29.922,33.513
249.318,-348.796,363.041
249.318,-348.796,363.041
197.251,-232.113,307.601
249.318,-348.796,363.041
12.263,-13.835,12.456
12.263,-13.835,12.456
28.278,-25.254,22.09
28.278,-25.254,22.09
16.104,-10.848,10.649
249.318,-348.796,363.041
16.888,-30.371,24.408
16.888,-30.371,24.408
45.35,-108.518,62.43
61.58,-77.965,19.858
18.994,-23.134,7.794
18.994,-23.134,7.794
48.015,-57.406,21.336
48.015,-57.406,21.336
22.698,-25.507,9.871
22.698,-25.507,9.871
42.742,-49.404,17.595
42.742,-49.404,17.595
18.994,-23.134,7.794
1.247,18.747,-41.682
0.306,11.875,-23.405
0.306,11.875,-23.405
18.097,156.562,-302.625
18.097,156.562,-302.625
1.247,18.747,-41.682
18.097,156.562,-302.625
10.858,27.563,-42.379
10.858,27.563,-42.379
5.575,11.434,-15.985
-0.531,-18.798,28.818
-0.436,-29.451,37.014
-0.436,-29.451,37.014
-8.82,-67.986,88.706
-8.82,-67.986,88.706
-2.063,-16.964,24.563
-2.063,-16.964,24.563
-0.531,-18.798,28.818
-0.531,-18.798,28.818
3.548,-10.83,27.735
3.548,-10.83,27.735
7.179,-14.064,44.025
7.179,-14.064,44.025
4.162,-12.164,43.002
4.162,-12.164,43.002
0.219,-2.382,7.695
0.219,-2.382,7.695
-9.178,-40.388,91.793
-9.178,-40.388,91.793
-5.432,-12.199,24.609
-5.432,-12.199,24.609
-5.532,-9.766,18.362
-5.532,-9.766,18.362
-9.925,-12.359,26.346
-9.925,-12.359,26.346
-34.416,-20.759,83.796
-34.416,-20.759,83.796
-48.765,-7.176,133.883
-48.765,-7.176,133.883
-40.508,5.081,108.219
-37.258,-74.304,-117.096
-10.706,-22.917,-30.311
-10.706,-22.917,-30.311
-50.756,-118.399,-140.852
-50.756,-118.399,-140.852
-22.825,-40.846,-54.265
-22.825,-40.846,-54.265
-10.706,-22.917,-30.311
-22.825,-40.846,-54.265
