hip,dist,x0,y0,z0,mag,absmag,vx,vy,vz,spect
56.0,598.6682,598.661,1.702,2.329,8.12,-0.766,-3.889499014621797e-05,0.0001140167692057,-6.507383842563761e-06,K
57.0,29.304,10.178,0.03,-27.48,8.27,5.935,4.023267018174734e-06,-5.756728532106146e-06,-3.848898175622931e-05,K
58.0,38.3071,17.88,0.054,33.878,7.05,4.134,9.046725989520514e-06,-8.692874848623599e-06,-2.035155405736584e-07,G
59.0,2040.0009,1148.928,3.498,1685.692,9.09,-2.458,-7.735635924116342e-06,-2.1079710162332897e-05,-2.6862005973405586e-05,K
60.0,151.8267,65.445,0.2,-136.997,8.34,2.433,3.155002224471036e-06,1.7263026758207806e-06,1.2981018876891688e-05,F
61.0,178.8909,105.598,0.325,144.399,8.86,2.597,1.1603453886174512e-05,2.8378656961700737e-05,-8.549698086410974e-06,K
62.0,331.9141,232.96,0.732,-236.424,8.27,0.665,4.831193033517398e-06,4.695175109415406e-06,-2.0644043728743057e-05,G
63.0,179.264,126.196,0.4,127.318,6.36,0.093,-2.5833178667792014e-06,1.5414001143347632e-05,-1.8081179685137088e-06,A
64.0,263.9383,233.242,0.751,-123.535,8.08,0.972,2.1499013537384157e-05,-1.1489935167563075e-05,-3.414254433191751e-05,K
66.0,118.8996,36.113,0.119,-113.283,8.55,3.174,6.787601220037038e-06,-9.404667895052071e-06,3.4249926903576984e-06,F
67.0,139.3257,127.732,0.444,55.641,7.83,2.11,-7.249857623752082e-06,6.087057776353843e-05,-1.1948100806643472e-05,F
68.0,31.5856,30.207,0.106,9.228,8.79,6.293,-7.232471874054834e-06,-1.529025551314958e-05,-5.280665797749171e-05,K
69.0,173.0071,149.226,0.525,87.537,8.33,2.14,3.1386391659324503e-06,1.213218521520256e-05,-2.71013157045324e-07,A
71.0,150.6009,120.621,0.436,90.172,8.26,2.371,5.637073666542739e-06,-1.796254751073234e-05,-1.6201473335517066e-05,G
