hip,dist,x0,y0,z0,mag,absmag,vx,vy,vz,spect
91768,11.485306,0.331,-1.75,3.04,8.94,11.205,-2.704302230848869e-05,2.245420707957409e-05,1.4328925824007676e-05,K
91772,11.485306,0.331,-1.751,3.039,9.7,11.965,-2.8513652194644068e-05,2.2080924806662604e-05,1.686008644169514e-05,K
92403,9.70176,0.587,-2.658,-1.203,10.37,13.002,6.520678827626362e-06,1.3247941269302367e-05,2.035155405736584e-06,M
94761,19.282899999999998,1.94,-5.562,0.533,9.12,10.26,-2.692745820755993e-06,-4.26973558741218e-05,-3.4811384349682204e-05,M
96100,18.760322,0.784,-1.84,5.396,4.67,5.87,3.7127779824050724e-05,-4.451570075422212e-05,1.0180890484476227e-05,K
97649,16.72217,2.355,-4.487,0.791,0.76,2.21,-1.1239375833690982e-06,3.0864819168407085e-05,5.3589016713867835e-06,A
99240,19.883718,1.312,-2.085,-5.58,3.55,4.624,9.268649970950082e-06,5.254587173203301e-05,6.806009660892948e-06,G
99461,19.599771999999998,2.631,-4.083,-3.542,5.32,6.425,-6.129090382974834e-05,0.00011979701963446115,4.076549227541003e-05,K
99701,20.096595999999998,2.397,-3.626,-4.371,7.97,9.02,4.2042833532578375e-06,3.581668975864655e-05,2.0936533400120274e-05,M
103096,22.949095999999997,2.256,-2.392,6.224,8.55,9.312,1.0184981249110873e-05,-1.078325557692791e-05,-2.8407292314143263e-05,M
104214,11.398916,1.985,-1.87,2.188,5.2,7.482,-1.5000833915248347e-05,0.00011110414478583755,7.404283988709983e-07,K
104217,11.398264,1.986,-1.869,2.188,6.05,8.332,-1.4187794444112375e-05,0.00010894217567642694,3.845318756567616e-07,K
105090,12.940895999999999,2.344,-2.015,-2.491,6.69,8.696,-3.8866354793775444e-05,-4.929575922980644e-05,-3.0460856160735755e-05,M
106106,22.102473999999997,5.119,-3.942,2.055,10.33,11.174,-2.01981503835666e-06,4.333142439249199e-05,4.134740354468849e-06,M
106440,16.192746,2.615,-1.943,-3.749,8.66,10.179,-5.726047797346298e-06,2.876830229315081e-06,-2.272522023661941e-05,M
108870,11.861183999999998,1.74,-0.971,-3.044,4.69,6.885,-1.836957859187966e-05,9.037317230860826e-05,1.0084757515562037e-05,K
110893,13.04326,1.968,-0.835,3.381,9.59,11.579,-1.6239312908387543e-05,-1.1444936756581966e-05,-3.366801563429853e-05,M
112460,16.468215999999998,3.431,-1.134,3.53,10.29,11.773,1.868456746874743e-06,-1.8833880377912025e-05,-8.204028474783354e-06,M
113020,15.231046000000001,4.338,-1.3,-1.151,10.16,11.812,6.453181211154695e-07,2.2452161697256765e-05,-1.4261428207536012e-05,M
113283,24.780889999999996,6.229,-1.774,-3.979,6.48,7.076,6.077853555925888e-06,1.0921318883347226e-05,-8.613104938247996e-06,K
113296,22.386419999999998,6.332,-1.798,1.956,8.68,9.496,-3.309735396776536e-05,-2.641099917243582e-05,-1.7186324921308186e-05,M
114046,10.718879999999999,2.591,-0.625,-1.926,7.35,9.765,4.4043217438920464e-05,0.0001003249799735443,1.2209909743260841e-05,M
114622,21.326268,3.473,-0.718,5.497,5.57,6.492,-4.506999936221671e-06,6.811225385802122e-05,-1.0984725735184244e-05,K
116132,20.418032,5.844,-0.721,2.136,10.05,11.066,2.5649094259232926e-06,1.736734125639129e-05,-1.7784599249125225e-06,M
117473,19.265296,5.898,-0.278,0.248,8.98,10.122,-7.033762981926886e-05,3.179035466699584e-05,-3.079220809614212e-05,M
